neighbourhood_name,population_total,median_household_income,percent_immigrants,unemployment_rate
Harbourfront-CityPlace,26065,62400,85,10.3
St Lawrence-East Bayfront-The Islands,29005,61600,85,10.8
Church-Wellesley,21420,39600,45,15.6
Downtown Yonge East,16645,41200,70,13.6
Bay-Cloverhill,15925,33600,30,15.0
Yonge-Bay Corridor,11680,40800,30,13.3
Junction-Wallace Emerson,20100,36800,165,14.0
Dovercourt Village,11015,34400,50,13.8
North Toronto,14570,48400,55,13.0
South Eglinton-Davisville,20545,53600,60,10.6
